"ID","Nombre","Beneficiario","cuenta"
1,"Salud Ltda.",True,"78"
1,"Salud Ltda.",False,"70"
2,"Colmena de avispas S.A.",True,"84"
2,"Colmena de avispas S.A.",False,"62"
3,"Fundación e imperio",True,"81"
3,"Fundación e imperio",False,"54"
4,"Cruz de Malta S.A.",True,"69"
4,"Cruz de Malta S.A.",False,"50"
5,"Vida uno S.A.",True,"84"
5,"Vida uno S.A.",False,"62"
6,"Menos vida S.A.",True,"87"
6,"Menos vida S.A.",False,"59"
7,"Cruz pal cielo Ltda.",True,"65"
7,"Cruz pal cielo Ltda.",False,"52"
8,"Medibanc S.A.",True,"62"
8,"Medibanc S.A.",False,"60"
9,"sinsalud S.A.",True,"80"
9,"sinsalud S.A.",False,"56"
10,"especial S.A.",True,"78"
10,"especial S.A.",False,"57"
11,"FONASA",True,"79"
11,"FONASA",False,"54"
