Código genérico;Nombre producto genérico;Descripción producto genérico;Tipo producto;Código ONU;Clasificación ONU;Clasificación interna;Estado Código genérico;Canasta Esencial de Medicamentos;precio
300 DOSIS ENVASE INDIVIDUAL RESISTENTE CON SELLO QUE ASEGURE
;;activoINVIOLABILIDAD DEL CONTENIDO";Fármacos;51181752;;Broncodilatadores;Inactivo;0;activo100000610;FACOEMULSIFICADOR / VITRECTOR ANTERIOR;"FACOEMULSIFICADOR / VITRECTOR ANTERIOR CON FUNCIONES DEFACOEMULSIFICACION;; COAGULACION BIPOLAR;IRRIGACION/ ASPIRACION; CONFIGURACION EXPANDIBLE";activo;0;Kits de vitrectomía;Dispositivos y accesorios médicos;Inactivo;0;50152
100000643;FLUCONAZOL 50 MG CM/CM REC/CP;"FLUCONAZOL 50 MG COMPRIMIDO O COMPRIMIDO RECUBIERTO O CAPSULA ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DELCONTENIDO. COTIZAR POR COMPRIMIDO O COMPRIMIDO RECUBIERTO O CAPSULA.;;;;";activo;0;Fluconazol;Fungicidas o antimicóticos;Inactivo;0;15496
100000841;JERINGA 1ML GRAD 0 01ML BAJO ESP MUER TD;"JERINGA 1 ML BAJO ESPACIO MUERTO (LDS) TRANSPARENTE GRADUADA CADA 0 01MLCON AGUJA HIPODERMICA FIJA O INTERCAMBIABLE DE 23G X 1 PULGADA O 25GX 1PULGADA CON TOPE DE GOMA  EMBOLO RESISTENTE A LA TRACCION. PARA USOVACUNACION COVID-19. DESECHABLE  ESTERIL  LIBRE LATEX. LA AGUJA PUEDECONTAR CON SISTEMA RETRACTIL (BIOSEGURIDAD). LA COMBINACION DE CONEXIONDE JERINGA CON AGUJA DEBE TENER UN BAJO VOLUMEN MUERTO (LDS) MENOR OIGUAL A 35 MICROLITROS (0 035ML). ROTULO DEBE SEÑALAR DESECHABLE ESTERIL. CARACTERISTICA LIBRE DE LATEX RESPALDADO EN ROTULO DE ORIGEN OEN DOCUMENTO EMITIDO POR EL FABRICANTE. PARA LA EVALUACION DE OFERTAS  SI LA OFERTA CORRESPONDE A JERINGA CON REGISTRO SANITARIO OAUTORIZADASPOR EXCEPCION (ART. 4)  DEBE CUMPLIR CON LA ROTULACION Y CONLOS CONTROLES OBLIGATORIOS ESTABLECIDOS EN LA NORMATIVA;;Insumos;42142609;Jeringas médicas con;inactivo;0;0;3194
100000913;LEVONORG/ETINIL. 015/003 MG CICLO 21 CM;"LEVONORGESTREL/ETINILESTRADIOL 0 15 MG/0 03 MG BLISTER 1 CICLO QUE CONTENGA 21 COMPRIMIDOS (SIN PLACEBO). ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR CICLO.;;;;";activo;0;Levonorgestrel;Estrógenos  progestágenos y anticoncep.;Inactivo;0;4583
100000930;MCF PACK DE EXTRACC. (ZIKV/DENV/CHIKV);"MATERIAL DE CONTINUIDAD DE FUNCIONAMIENTO: PACK COMPUESTO POR KIT DEEXTRACCION DE MATERIAL GENETICO (ADN/ARN) COMPATIBLE CON EQUIPOSEXTRACCION:HAMILTON O EXM 3000 MAS LOS ACCESORIOS SUFICIENTES PARAGENERAR TODO EL PROCESO DE EXTRACCION. COMPONENTE 1 DEL PACK: KIT PARAEXTRACCION DE MATERIAL GENETICO (ADN/ARN)  COMPATIBLE PARA LAAMPLIFICACION DE VIRUS ZIKA DENGUE Y CHIKUNGUNYA  EN ENVASE INDIVIDUAL RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. DEBETENER ENTRE 1 Y 500 REACCIONES. EL KIT DEBE SER COMPATIBLE CON EQUIPOSEXTRACCION:HAMILTON O EXM 3000. COMPONENTE 2 DEL PACK: DEBE INCLUIRTODOS LOS CONSUMIBLES  PLASTICOS  ADAPTADORES  SOLUCION (ES) DEDESCONTAMINACION SUPERFICIAL Y REACTIVOS NECESARIOS PARA ELPROCESAMIENTO DE LA MUESTRA HASTA LA OBTENCION DEL MATERIAL GENETICOPARA SU AMPLIFICACION;;Insumos;41116104;Kits de ensayo quími;inactivo;0;0;5403
100000974;MANGA 10 CM C/FUELLE PAPEL MEDICO BILAMI;"MANGA DE PAPEL BILAMINADO 10 CM ANCHO ROLLO 100 M DE LARGO   LAMINA DE PAPEL GRADO MEDICO 58 GR/M2 MINIMO Y LAMINA DE PLASTICO TRANSPARENTE O QUE PERMITA VISUALIZAR EL CONTENIDO  MAYOR A TRES CAPAS  DE 55 GR/M2MINIMO CON CONTROL DE VIRAJE IMPRESO A TODO LO LARGO PARA ESTERILIZACION POR AUTOCLAVE A VAPOR  OXIDO DE ETILENO Y FORMALDEHIDO. CON FUELLE A TODO LOLARGO EN AMBOS COSTADOS. SEÑALAR EN FICHA TECNICA Y PRODUCTO EL COLOR DE VIRAJE. RESISTENTE AL AGUA Y TEMPERATURA. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR ROLLO.;;;;";activo;0;Envolturas parciales;Empaques y envoltorios de esterilización;Activo;0;58499
100001108;OSELTAMIVIR 75 MG CP;"OSELTAMIVIR 75 MG CAPSULA ENVASADA EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR CAPSULA.;;;;";activo;0;Zanamivir;Antivirales;Activo;1;11035
100001141;PARACETAMOL 120 MG/5ML JBE FRA 60A150 ML;"PARACETAMOL 120 MG/5ML JARABE FRASCO 60 A 150 ML. ENVASE RESISTENTE CONSELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. PRECIO SERA EVALUADO POR ML. COTIZAR POR FRASCO.;;;;";activo;0;Acetaminofen;Analgésico Antipirético;Activo;1;11470
100001272;SALES REHIDRATACION ORAL 90 MEQ/L SO;"SALES REHIDRATACION ORAL 90 MEQ SODIO SOBRE PARA PREPARAR 1 L DE SOLUCION. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR SOBRE.;;;;";activo;0;Solución de rehidrat;Otras sales;Activo;1;5977
ML SUSPENSION ORAL PEDIATRICA ENVASE INDIVIDUAL RESISTENTE CON SELLO QUE
;;activoASEGURE INVIOLABILIDAD DEL CONTENIDO COTIZAR POR FRASCO ";Fármacos;51101530;;Antibióticos;Inactivo;0;activo100001371;SUPLEM MULTIV A D E K FRASCO 60 ML;"SUPLEMENTO MULTIVITAMINICO EN GOTAS  PARA PACIENTES MENORES DE 5AÑOS.POR CADA 10 GOTAS DEBE CONTENER LAS SIGUIENTES CONCENTRACIONESMÍNIMAS DE: VITAMINAS A (1500 UI)  D (350 UI)  E (25 UI) y K 0 25 MG  YZINC;;Fármacos;51191905;Suplementos vitamíni;inactivo;0;0;4740
100001540;VACUNA PENTAVALENTE MONODODIS 0.5 ML;"VACUNA  PENTAVALENTE. INDICACION A PARTIR DE LAS 6 SEMANAS DE VIDA;; TOXOIDE TETANICO; BORDETELLA PERTUSSIS;  ANTIGENOHEPATITIS B Y HAEMOPHILUS INFLUENZAE TIPO B. CONCENTRACIÓN DE TIMEROSALIGUAL O INFERIOR A 1 MCG/DOSIS. ENVASE RESISTENTE CON SELLO QUE ASEGUREINVIOLABILIDAD DEL CONTENIDO.";inactivo;0;Vacuna mixta antihem;Vacunas  antígenos y toxoides;Inactivo;0;47510
